date,description,amount,type
2026-06-01,SALARY CREDIT,60000,CREDIT
2026-06-02,RENT PAYMENT,18000,DEBIT
2026-06-03,SWIGGY ORDER,850,DEBIT
2026-06-05,NETFLIX.COM,649,DEBIT
2026-06-06,SPOTIFY,119,DEBIT
2026-06-08,ELECTRICITY BILL,1800,DEBIT
2026-06-10,UBER TRIP,320,DEBIT
2026-06-15,GYM MEMBERSHIP,1500,DEBIT
2026-06-20,AMAZON SHOPPING,2400,DEBIT
2026-06-25,ZOMATO ORDER,620,DEBIT
2026-07-01,SALARY CREDIT,60000,CREDIT
2026-07-02,RENT PAYMENT,18000,DEBIT
2026-07-04,SWIGGY ORDER,920,DEBIT
2026-07-05,NETFLIX.COM,649,DEBIT
2026-07-06,SPOTIFY,119,DEBIT
2026-07-08,ELECTRICITY BILL,1950,DEBIT
2026-07-12,UBER TRIP,450,DEBIT
2026-07-15,GYM MEMBERSHIP,1500,DEBIT
2026-07-21,AMAZON SHOPPING,3100,DEBIT
2026-07-26,ZOMATO ORDER,780,DEBIT
2026-08-01,SALARY CREDIT,60000,CREDIT
2026-08-02,RENT PAYMENT,18000,DEBIT
2026-08-03,SWIGGY ORDER,760,DEBIT
2026-08-05,NETFLIX.COM,649,DEBIT
2026-08-06,SPOTIFY,119,DEBIT
2026-08-08,ELECTRICITY BILL,2100,DEBIT
2026-08-11,UBER TRIP,380,DEBIT
2026-08-15,GYM MEMBERSHIP,1500,DEBIT
2026-08-19,AMAZON SHOPPING,1800,DEBIT
2026-08-25,ZOMATO ORDER,690,DEBIT
